东门,北操,信远,海棠,竹园,礼仪广场,新综,老综,游泳馆,A楼,B楼,C楼,D楼,F楼,G楼,大活,丁香,家属区,办公楼,体育场,图书馆,南操,,,加和
-6.762356983,1.100370545,2.601916399,7.496221295,5.053942029,3.287425806,3.890855531,3.911863911,0.213623706,4.228588895,6.093432726,3.869028033,2.015794267,2.434879261,2.577447486,0.857332496,5.359791688,2.73037762,-2.73239376,-2.936513742,4.63635277,1.982271233,,,7.496221295
归一化结果使用绝对值,,,,,,,,,,,,,,,,,,,,,,,,
-0.902102101,0.14679003,0.347097064,1,0.674198617,0.438544391,0.519042245,0.521844775,0.028497519,0.56409606,0.812867242,0.516130445,0.268908052,0.324814218,0.343832897,0.114368622,0.714999128,0.36423386,-0.364502814,-0.391732531,0.618491983,0.264436061,,,
1,0.1,0.3,1,0.7,0.4,0.5,0.5,0.1,0.6,0.8,0.5,0.3,0.3,0.3,0.1,0.7,0.3,0.3,0.4,0.6,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,单项,,,,,,,,,,,,,,,,,,
北操,300,海棠,7000,200,,1.720159303,,,,,,,,,,,,,,,,,,
北操,300,游泳馆,50,250,,-0.619788758,,,,,,,,,,,,,,,,,,
南操,300,大活,100,250,,-0.318758763,,,,,,,,,,,,,,,,,,
南操,300,丁香,4000,200,,1.477121255,,,,,,,,,,,,,,,,,,
南操,300,图书馆,2000,300,,0.823908741,,,,,,,,,,,,,,,,,,
大活,100,A楼,1200,100,,1.079181246,,,,,,,,,,,,,,,,,,
大活,100,图书馆,2000,400,,0.096910013,,,,,,,,,,,,,,,,,,
A楼,1200,B楼,1500,175,,1.769196408,,,,,,,,,,,,,,,,,,
A楼,1200,游泳馆,50,50,,1.380211242,,,,,,,,,,,,,,,,,,
B楼,1500,C楼,1200,150,,1.903089987,,,,,,,,,,,,,,,,,,
B楼,1500,海棠,7000,300,,2.06694679,,,,,,,,,,,,,,,,,,
B楼,1500,游泳馆,50,280,,-0.019254799,,,,,,,,,,,,,,,,,,
B楼,1500,礼仪广场,200,575,,-0.042214435,,,,,,,,,,,,,,,,,,
B楼,1500,新综,400,480,,0.415668776,,,,,,,,,,,,,,,,,,
C楼,1200,D楼,200,200,,0.77815125,,,,,,,,,,,,,,,,,,
C楼,1200,新综,400,300,,0.726998728,,,,,,,,,,,,,,,,,,
C楼,1200,礼仪广场,200,395,,0.18701705,,,,,,,,,,,,,,,,,,
C楼,1200,游泳馆,50,700,,-0.91204483,,,,,,,,,,,,,,,,,,
C楼,1200,海棠,7000,740,,1.185815847,,,,,,,,,,,,,,,,,,
D楼,200,F楼,700,90,,1.237643017,,,,,,,,,,,,,,,,,,
F楼,700,礼仪广场,200,220,,0.461282674,,,,,,,,,,,,,,,,,,
F楼,700,G楼,700,300,,0.735953571,,,,,,,,,,,,,,,,,,
G楼,700,信远,1200,220,,1.239433924,,,,,,,,,,,,,,,,,,
G楼,700,竹园,4000,350,,1.359021943,,,,,,,,,,,,,,,,,,
G楼,700,东门,10,200,,-0.756961951,,,,,,,,,,,,,,,,,,
信远,1200,竹园,4000,100,,2.681241237,,,,,,,,,,,,,,,,,,
信远,1200,东门,10,500,,-1.318758763,,,,,,,,,,,,,,,,,,
图书馆,2000,家属区,1000,300,,1.346787486,,,,,,,,,,,,,,,,,,
海棠,7000,新综,400,250,,1.651278014,,,,,,,,,,,,,,,,,,
海棠,7000,礼仪广场,200,675,,0.48752049,,,,,,,,,,,,,,,,,,
海棠,7000,游泳馆,50,380,,0.384500851,,,,,,,,,,,,,,,,,,
竹园,4000,老综,400,175,,1.718043885,,,,,,,,,,,,,,,,,,
竹园,4000,东门,10,450,,-0.704365036,,,,,,,,,,,,,,,,,,
丁香,4000,家属区,1000,350,,1.513923903,,,,,,,,,,,,,,,,,,
礼仪广场,200,新综,400,80,,1.096910013,,,,,,,,,,,,,,,,,,
礼仪广场,200,老综,400,80,,1.096910013,,,,,,,,,,,,,,,,,,
家属区,1000,体育场,150,450,,-0.130333768,,,,,,,,,,,,,,,,,,
办公楼,100,东门,10,300,,-1.954242509,,,,,,,,,,,,,,,,,,
办公楼,100,体育场,150,300,,-0.77815125,,,,,,,,,,,,,,,,,,
东门,10,体育场,150,400,,-2.028028724,,,,,,,,,,,,,,,,,,
图书馆,2000,丁香,4000,185,,2.36874653,,,,,,,,,,,,,,,,,,
